layer,k,format,category,position,n,explained_fraction_mean,explained_fraction_median,explained_fraction_std,explained_fraction_q1,explained_fraction_q3,relative_residual_mean,relative_residual_median,relative_residual_std,relative_residual_q1,relative_residual_q3,target_norm_mean,target_norm_median,target_norm_std,target_norm_q1,target_norm_q3,residual_norm_mean,residual_norm_median,residual_norm_std,residual_norm_q1,residual_norm_q3,coefficient_sum_mean,coefficient_sum_median,coefficient_sum_std,coefficient_sum_q1,coefficient_sum_q3,largest_coefficient_mean,largest_coefficient_median,largest_coefficient_std,largest_coefficient_q1,largest_coefficient_q3,largest_coefficient_share_mean,largest_coefficient_share_median,largest_coefficient_share_std,largest_coefficient_share_q1,largest_coefficient_share_q3,herfindahl_mean,herfindahl_median,herfindahl_std,herfindahl_q1,herfindahl_q3,output_token_inclusion_rate,output_token_share_when_present,output_token_top_rate,active_set_size_mean,n_iterations_mean,residual_decrease_relative_mean,stop_reasons
35,10,all,factual,all,16,0.017855611,0.018219233,0.0035118416,0.015705198,0.020153999,0.9910305,0.99084845,0.0017719103,0.98987165,0.99211633,183.30775,182.81852,9.2738727,178.21256,186.10264,181.66358,181.19126,9.1877673,176.61926,184.71207,148.38403,146.0438,19.651015,134.49997,162.57096,39.762551,40.024782,10.383655,29.918145,46.801574,0.26996877,0.2519066,0.074264119,0.21400483,0.30798167,0.14722705,0.13854198,0.030148781,0.12821925,0.16187479,0.875,0.24563779,0.5625,10,10,0.0089694989,max_atoms=16
35,10,all,multihop,all,12,0.016332095,0.016746968,0.003593519,0.014265299,0.019512281,0.99179883,0.99159116,0.0018105278,0.99019578,0.99284148,188.39874,188.85038,12.906487,177.58206,195.72944,186.85395,187.84049,12.801842,175.82196,194.15045,143.26501,143.7484,29.088074,119.7088,159.39293,40.062126,39.065769,13.091844,31.323063,50.616964,0.28683773,0.2530446,0.10716154,0.21066679,0.35484914,0.15629223,0.13428504,0.051325535,0.12059754,0.17923711,0.75,0.30812444,0.66666667,10,10,0.0082011853,max_atoms=12
35,10,all,syntactic,all,12,0.014069691,0.013563454,0.0058678633,0.0090604872,0.017813236,0.9929362,0.99319512,0.0029566097,0.99105293,0.99545948,178.65746,178.28123,10.904155,169.90656,184.79843,177.38284,177.01135,10.613497,168.9528,183.08149,125.57706,121.14833,26.823628,104.42683,148.59198,33.995047,31.095811,14.250499,21.04176,41.362782,0.26771427,0.23760097,0.084207476,0.20397078,0.33509604,0.14639823,0.13660293,0.034273114,0.11754251,0.16949315,0.58333333,0.29497818,0.58333333,10,10,0.0070637985,max_atoms=12
35,10,chat,all,-2,8,0.015916362,0.014174908,0.0051831461,0.012320936,0.019898802,0.99200689,0.99288723,0.0026140573,0.99000053,0.99382047,188.61176,185.97478,15.853954,177.07329,194.65757,187.09307,184.71568,15.560153,175.60658,193.47087,137.38736,135.59594,25.090904,114.39279,154.31776,40.599378,40.713793,12.993278,31.701547,50.286776,0.2923638,0.30184243,0.066103314,0.25582597,0.32807955,0.15201711,0.15337766,0.026175684,0.13803456,0.16265794,0.5,0.16554549,0.125,10,10,0.0079931116,max_atoms=8
35,10,chat,all,-1,8,0.012952231,0.011704892,0.0046465394,0.010093331,0.016033068,0.99350037,0.99413019,0.0023394703,0.99195097,0.99494049,195.7243,190.50179,15.36062,187.78899,199.18114,194.44788,189.56293,15.182585,186.63854,198.21975,121.08584,120.42045,27.744198,101.26936,144.32467,34.002516,33.723069,13.858025,21.656374,43.887306,0.27562732,0.24174195,0.08048123,0.21520049,0.3127701,0.15371556,0.14022215,0.035647282,0.12849497,0.16557729,0.125,0.11148458,0,10,10,0.0064996274,max_atoms=8
35,10,plain,all,-2,30,0.018099719,0.019316524,0.0041723783,0.015457496,0.020416334,0.99090666,0.99029467,0.0021040417,0.98973918,0.99224113,183.49191,179.50727,15.537822,170.61908,194.45374,181.81188,177.75099,15.260853,169.82705,192.24218,146.33231,141.13232,28.300632,124.86568,161.77642,42.842804,45.306934,10.858536,37.402801,51.950566,0.30190547,0.30807041,0.089827402,0.25162285,0.35564405,0.1589564,0.15366723,0.039665022,0.13111011,0.18247831,0.96666667,0.28633503,0.76666667,10,10,0.0090933458,max_atoms=30
35,10,plain,all,-1,30,0.016729168,0.016836137,0.0040810467,0.014856011,0.019353867,0.99159809,0.99154618,0.0020570483,0.99027579,0.99254417,193.14121,192.68404,14.741623,182.32774,202.54901,191.50511,190.87466,14.446065,180.81735,200.73589,155.28181,159.49196,25.033223,136.25333,171.88259,38.974742,36.853468,11.765255,31.376279,48.564679,0.25274891,0.22946336,0.072510985,0.19121059,0.29732328,0.14018889,0.13040778,0.027203022,0.11810295,0.15645544,0.86666667,0.24093157,0.63333333,10,10,0.0084019211,max_atoms=30
35,16,all,all,all,76,0.017459053,0.017861128,0.0045876471,0.014463305,0.020753145,0.99122937,0.9910292,0.0023132631,0.98956904,0.99274199,189.12739,187.59888,15.705999,178.05584,198.55485,187.46011,185.94799,15.467191,176.51191,196.83501,160.6868,158.01856,31.551108,138.73904,182.47987,37.199008,36.114428,11.94529,28.173145,47.124366,0.23592878,0.22782826,0.077357247,0.17059219,0.29917596,0.10986425,0.10119438,0.029674515,0.085630928,0.13075098,0.78947368,0.21958383,0.56578947,15.973684,16,0.008770627,max_atoms=76
35,16,chat,all,all,16,0.014838409,0.013718247,0.0050556254,0.011004344,0.018594235,0.99255,0.99311712,0.0025482562,0.99065919,0.99448261,192.16803,190.152,15.520799,180.88982,198.40604,190.73193,188.97051,15.334296,179.52879,197.3826,137.70337,139.37172,28.036868,116.89812,158.68584,33.263663,34.513405,13.314519,20.901721,43.72642,0.23603702,0.23511445,0.067896872,0.17059219,0.27900995,0.11161495,0.11030243,0.026720354,0.087834433,0.12787225,0.3125,0.14888748,0.0625,15.9375,16,0.0074499941,max_atoms=16
35,16,plain,all,all,60,0.018157891,0.01806584,0.0042304601,0.016112551,0.020887285,0.99087721,0.99092591,0.0021336227,0.98950127,0.99191102,188.31656,185.57874,15.784608,176.76518,198.55485,186.58762,184.18423,15.512974,175.7945,196.83501,166.81572,170.26593,29.734365,143.16835,186.7851,38.248434,36.440491,11.445325,30.016877,48.106565,0.23589992,0.22782826,0.080218003,0.17098163,0.30214065,0.1093974,0.10038585,0.030607269,0.083477944,0.13188369,0.91666667,0.22601077,0.7,15.983333,16,0.0091227958,max_atoms=60
35,16,all,all,-2,38,0.018355806,0.019774824,0.0044953307,0.015864462,0.020989165,0.99077706,0.99006319,0.0022676388,0.98944981,0.99203606,184.56977,180.91021,15.532254,172.26257,194.45374,182.85689,179.40237,15.259645,170.68288,192.1637,158.7493,156.7084,30.053233,137.05155,175.43877,39.277532,42.474747,11.73783,29.674177,49.656717,0.25415895,0.26212965,0.082508347,0.19921474,0.31064506,0.11557603,0.11359111,0.032696711,0.089821421,0.13379643,0.86842105,0.23322179,0.57894737,15.947368,16,0.0092229393,max_atoms=38
35,16,all,all,-1,38,0.0165623,0.017304718,0.0045609252,0.013199672,0.019349903,0.99168169,0.99130985,0.0022988218,0.99027778,0.99337822,193.68502,191.67398,14.700551,183.45836,202.54901,192.06333,190.23882,14.441342,181.81349,200.67769,162.6243,167.4414,33.270737,141.24963,184.02744,35.120485,33.803219,11.940925,26.693806,45.797253,0.21769862,0.19984377,0.068115721,0.16049347,0.26874884,0.10415248,0.098922178,0.025472849,0.083764231,0.12508748,0.71052632,0.20291521,0.55263158,16,16,0.0083183148,max_atoms=38
35,16,all,antonym,all,14,0.015937184,0.016281277,0.0030327831,0.014670908,0.018144667,0.99199831,0.99182594,0.001528024,0.99088618,0.99263741,189.07966,190.95956,15.697959,177.26957,203.21603,187.55872,189.72607,15.465192,175.92632,201.39688,148.14459,144.84039,19.679324,137.46661,157.7856,43.307691,43.369658,10.102965,35.921524,52.837869,0.2920433,0.31184159,0.052973698,0.27471589,0.32290391,0.12795618,0.13199658,0.023617899,0.11367445,0.14602037,0.85714286,0.25459178,0.71428571,16,16,0.0080016892,max_atoms=14
35,16,all,association,all,12,0.020613169,0.021001875,0.0037441676,0.017365649,0.023184881,0.98963809,0.98944333,0.0018920746,0.98833956,0.99127914,209.00171,211.27563,17.744355,202.94359,218.12845,206.83919,209.16222,17.629787,200.7696,216.02388,191.20731,193.94157,20.45153,182.09807,197.93641,39.191328,39.253336,10.074247,33.283668,48.106565,0.20868941,0.22345434,0.059576637,0.16871044,0.25791248,0.099402761,0.10117338,0.020032874,0.085336269,0.11818881,0.83333333,0.14864288,0.33333333,16,16,0.010361911,max_atoms=12
