layer,format,category,position,variant,n_ranks,median_rank,mean_reciprocal_rank,hit_rate@1,hit_rate@5,hit_rate@10,mean_topk_overlap
21,plain,all,-2,logit_lens,30,119415,1.2208507e-05,0,0,0,
21,plain,all,-2,permuted,30,165639,7.768945e-06,0,0,0,
21,plain,all,-2,random,30,246352.5,4.4843508e-06,0,0,0,
21,plain,all,-2,adjacent_layer,30,16373,0.035036054,0.033333333,0.033333333,0.033333333,
21,plain,all,-2,distant_layer,30,194658,0.00099793408,0,0,0,
21,plain,all,-2,shuffled_layer,30,122523.5,1.8526155e-05,0,0,0,
21,plain,all,-1,jlens,30,340.5,0.10526787,0.066666667,0.16666667,0.16666667,
21,plain,all,-1,logit_lens,30,129727,1.3141663e-05,0,0,0,
21,plain,all,-1,permuted,30,178256,1.2466008e-05,0,0,0,
21,plain,all,-1,random,30,199173.5,9.9096202e-06,0,0,0,
21,plain,all,-1,adjacent_layer,30,176683.5,1.1339912e-05,0,0,0,
21,plain,all,-1,distant_layer,30,126038.5,2.9995679e-05,0,0,0,
21,plain,all,-1,shuffled_layer,30,151451.5,0.00012163609,0,0,0,
28,all,all,all,jlens,76,26,0.20961648,0.065789474,0.35526316,0.39473684,0.16052632
28,all,all,all,logit_lens,76,2060.5,0.15283673,0.10526316,0.21052632,0.22368421,0.060526316
28,all,all,all,permuted,76,161329.5,9.2890277e-06,0,0,0,0
28,all,all,all,random,76,79804,2.129203e-05,0,0,0,0
28,all,all,all,adjacent_layer,76,104,0.30887361,0.27631579,0.32894737,0.34210526,0.12105263
28,all,all,all,distant_layer,76,148473.5,0.00096221734,0,0,0,0
28,all,all,all,shuffled_layer,76,148473.5,0.00096221734,0,0,0,0
28,chat,all,all,jlens,16,342,0.18191565,0.125,0.25,0.25,0.05625
28,chat,all,all,logit_lens,16,20371,0.0026079338,0,0,0,0.025
28,chat,all,all,permuted,16,210282,5.4949562e-06,0,0,0,0
28,chat,all,all,random,16,80730.5,2.6397485e-05,0,0,0,0
28,chat,all,all,adjacent_layer,16,1493,0.029021783,0,0.0625,0.0625,0.05
28,chat,all,all,distant_layer,16,191830,1.0577688e-05,0,0,0,0
28,chat,all,all,shuffled_layer,16,191830,1.0577688e-05,0,0,0,0
28,plain,all,all,jlens,60,16.5,0.21700336,0.05,0.38333333,0.43333333,0.18833333
28,plain,all,all,logit_lens,60,585,0.19289774,0.13333333,0.26666667,0.28333333,0.07
28,plain,all,all,permuted,60,156110.5,1.030078e-05,0,0,0,0
28,plain,all,all,random,60,79178,1.9930575e-05,0,0,0,0
28,plain,all,all,adjacent_layer,60,29.5,0.38350076,0.35,0.4,0.41666667,0.14
28,plain,all,all,distant_layer,60,125631,0.0012159879,0,0,0,0
28,plain,all,all,shuffled_layer,60,125631,0.0012159879,0,0,0,0
28,all,antonym,all,jlens,14,35,0.1924481,0.071428571,0.28571429,0.28571429,0.19285714
28,all,antonym,all,logit_lens,14,186.5,0.23425297,0.14285714,0.35714286,0.35714286,0.11428571
28,all,antonym,all,permuted,14,161665,7.969065e-06,0,0,0,0
28,all,antonym,all,random,14,49031,4.3519879e-05,0,0,0,0
28,all,antonym,all,adjacent_layer,14,27.5,0.37390032,0.35714286,0.35714286,0.42857143,0.16428571
28,all,antonym,all,distant_layer,14,125631,0.0001420957,0,0,0,0
28,all,antonym,all,shuffled_layer,14,125631,0.0001420957,0,0,0,0
28,all,association,all,jlens,12,50,0.10750847,0,0.25,0.33333333,0.14166667
28,all,association,all,logit_lens,12,2795,0.073223525,0,0.16666667,0.16666667,0.075
28,all,association,all,permuted,12,213979.5,8.9186791e-06,0,0,0,0
28,all,association,all,random,12,80104.5,2.3870153e-05,0,0,0,0
28,all,association,all,adjacent_layer,12,670.5,0.21280827,0.16666667,0.25,0.25,0.1
28,all,association,all,distant_layer,12,220807.5,1.4322484e-05,0,0,0,0
28,all,association,all,shuffled_layer,12,220807.5,1.4322484e-05,0,0,0,0
28,all,counting,all,jlens,10,1.5,0.35426587,0.1,0.6,0.7,0.21
28,all,counting,all,logit_lens,10,31887.5,0.0042655566,0,0,0,0.04
28,all,counting,all,permuted,10,182579,7.27483e-06,0,0,0,0
28,all,counting,all,random,10,68568,1.3377745e-05,0,0,0,0
28,all,counting,all,adjacent_layer,10,168,0.28524013,0.2,0.4,0.4,0.23
28,all,counting,all,distant_layer,10,235015.5,7.6756983e-06,0,0,0,0
28,all,counting,all,shuffled_layer,10,235015.5,7.6756983e-06,0,0,0,0
28,all,factual,all,jlens,16,31,0.24261962,0.125,0.375,0.375,0.1
28,all,factual,all,logit_lens,16,4542,0.15678113,0.125,0.1875,0.1875,0.025
28,all,factual,all,permuted,16,146885.5,8.7300534e-06,0,0,0,0
28,all,factual,all,random,16,98560.5,1.7224161e-05,0,0,0,0
28,all,factual,all,adjacent_layer,16,312.5,0.19544437,0.1875,0.1875,0.1875,0.05625
28,all,factual,all,distant_layer,16,92026,0.0041948693,0,0,0,0
28,all,factual,all,shuffled_layer,16,92026,0.0041948693,0,0,0,0
28,all,multihop,all,jlens,12,26.5,0.17434376,0,0.33333333,0.41666667,0.19166667
28,all,multihop,all,logit_lens,12,2545.5,0.19797627,0.16666667,0.25,0.25,0.075
28,all,multihop,all,permuted,12,151179,1.5765576e-05,0,0,0,0
28,all,multihop,all,random,12,141937,1.0893218e-05,0,0,0,0
28,all,multihop,all,adjacent_layer,12,46.5,0.4246236,0.41666667,0.41666667,0.41666667,0.15
28,all,multihop,all,distant_layer,12,185859.5,5.5617376e-05,0,0,0,0
28,all,multihop,all,shuffled_layer,12,185859.5,5.5617376e-05,0,0,0,0
28,all,syntactic,all,jlens,12,46.5,0.20248162,0.083333333,0.33333333,0.33333333,0.15
28,all,syntactic,all,logit_lens,12,540.5,0.21087487,0.16666667,0.25,0.33333333,0.033333333
28,all,syntactic,all,permuted,12,156932.5,7.1465812e-06,0,0,0,0
28,all,syntactic,all,random,12,73048.5,1.5199289e-05,0,0,0,0
28,all,syntactic,all,adjacent_layer,12,50,0.38425802,0.33333333,0.41666667,0.41666667,0.058333333
28,all,syntactic,all,distant_layer,12,80591,0.00025876946,0,0,0,0
28,all,syntactic,all,shuffled_layer,12,80591,0.00025876946,0,0,0,0
28,all,all,-2,jlens,38,1.5,0.32136226,0.078947368,0.57894737,0.60526316,
28,all,all,-2,logit_lens,38,57,0.27769351,0.21052632,0.36842105,0.39473684,
28,all,all,-2,permuted,38,160927,7.0737584e-06,0,0,0,
28,all,all,-2,random,38,90471.5,1.7917303e-05,0,0,0,
